interest_area,coding_interest_level,preferred_domain,current_degree,field_of_study,current_status,known_languages,frameworks_known,job_type_preference,job_experience,tech_inclination,recommended_job_role
Both,Intermediate,Frontend,Masters,Non-CS,Pursuing Degree,"Python, R, C, SQL","TensorFlow, Django",Freelance,1+,Medium,Backend Developer
Creativity,Advanced,AI/ML,Masters,CS,Intern,"C++,  C, Java",Node,Onsite,3+,High,DevOps
Creativity,Beginner,Data Science,Bachelors,Non-CS,Intern,"SQL, Java, JavaScript","Django, Flask, React",Internship,None,Medium,Data Analyst
Both,Intermediate,Backend,Diploma,CS,Job Seeker,"JavaScript, C",None,Internship,1+,Medium,DevOps
Logic,Advanced,Data Science,Bachelors,CS,Working Professional,JavaScript,Node,Freelance,1+,Low,Developer
Creativity,Intermediate,Frontend,Bachelors,CS,Trainee,"C++, JavaScript","Node, Flask",Internship,3+,Low,Frontend Developer
Logic,Intermediate,Data Science,Bachelors,Non-CS,Pursuing Degree,Java,PyTorch,Internship,3+,High,Cybersecurity Analyst
Both,None,Frontend,Bachelors,CS,Intern,"Java, R","Django, Node, PyTorch",Remote,3+,Medium,Frontend Developer
Logic,Advanced,DevOps,Masters,CS,Trainee,"JavaScript, C++, Python","Django, Flask, Node",Internship,None,High,ML Engineer
Both,Intermediate,Full Stack,Bachelors,CS,Working Professional,Java,"Flask,Scikit-learn",Full-time Job,1+,Low,Frontend Developer
Logic,None,Full Stack,Diploma,Non-CS,Working Professional,"C++, R, C","Scikit-learn, PyTorch",Remote,None,Medium,ML Engineer
Creativity,Intermediate,Cybersecurity,Bachelors,CS,Job Seeker,"JavaScript, C++, Java",Flask,Internship,1+,Medium,Data Analyst
Creativity,Intermediate,DevOps,Masters,CS,Job Seeker,"C, JavaScript","Scikit-learn, PyTorch, React",Remote,3+,High,Data Analyst
Both,Advanced,Cybersecurity,Masters,Non-CS,Trainee,"Java, C++, R","Django, TensorFlow, Scikit-learn",Full-time Job,None,Low,ML Engineer
Both,Intermediate,AI/ML,Bachelors,Non-CS,Working Professional,"SQL, C++, C","Node, Scikit-learn",Internship,None,Low,ML Engineer
Logic,Intermediate,Data Science,Masters,CS,Pursuing Degree,"JavaScript, C","Django, PyTorch, Node",Freelance,None,Low,Cybersecurity Analyst
Both,Beginner,DevOps,Bachelors,CS,Pursuing Degree,Python,Flask,Full-time Job,None,Low,DevOps
Logic,None,Cybersecurity,Masters,Non-CS,Intern,"Java, R, C",Scikit-learn,Internship,3+,Medium,ML Engineer
Logic,Beginner,DevOps,Masters,CS,Working Professional,"R, SQL, C++, JavaScript","Flask, Node",Remote,3+,High,DevOps
Logic,Advanced,Frontend,Diploma,CS,Pursuing Degree,Java,"React, Flask",Onsite,3+,Medium,Data Analyst
Creativity,Intermediate,AI/ML,Diploma,Non-CS,Pursuing Degree,C,Flask,Onsite,None,Low,Cybersecurity Analyst
Logic,Beginner,Cybersecurity,Bachelors,Non-CS,Trainee,"JavaScript, Python, R",Django,Full-time Job,3+,Low,Cybersecurity Analyst
Creativity,Beginner,Full Stack,Masters,Non-CS,Pursuing Degree,"JavaScript, Python, C++",None,Remote,3+,Medium,Backend Developer
