interest_area,coding_interest_level,preferred_domain,current_degree,field_of_study,current_status,known_languages,frameworks_known,job_type_preference,job_experience,recommended_job_role,
Both,Advanced,Cybersecurity,Diploma,CS,Job Seeker,"C, C++, Python, SQL","PyTorch, React, Scikit-learn",Full-time Job,None,ml engineer,
Logic,Beginner,Full Stack,Diploma,CS,Working Professional,JavaScript,"None, PyTorch, TensorFlow",Freelance,1+,ml engineer,
Both,Intermediate,Data Science,Bachelors,Non-CS,Job Seeker,"R, SQL",PyTorch,Remote,None,ml engineer,
Creativity,Advanced,Cybersecurity,Diploma,CS,Job Seeker,"C, JavaScript",React,Onsite,1+,frontend developer,
Creativity,None,Backend,Masters,Non-CS,Intern,"JavaScript, R","Flask, PyTorch, Scikit-learn",Internship,3+,ml engineer,
Logic,Beginner,Full Stack,Bachelors,CS,Job Seeker,"C++, Java, Python, R","Flask, PyTorch",Internship,1+,ml engineer,
Logic,None,Backend,Masters,CS,Trainee,"C++, SQL","None, Scikit-learn, TensorFlow",Internship,None,ml engineer,
Logic,Advanced,Backend,Masters,Non-CS,Trainee,JavaScript,"Flask, None, Scikit-learn",Remote,3+,ml engineer,
Creativity,Advanced,Frontend,Masters,Non-CS,Job Seeker,"C++, Java, R","Node, None",Full-time Job,1+,backend developer,
Logic,None,Full Stack,Diploma,Non-CS,Pursuing Degree,"C++, None, Python, SQL","PyTorch, Scikit-learn",Freelance,None,ml engineer,
Logic,Intermediate,Frontend,Masters,Non-CS,Working Professional,"C, JavaScript, R, SQL","Django, PyTorch, React",Onsite,3+,ml engineer,
Logic,Intermediate,DevOps,Diploma,CS,Intern,JavaScript,Scikit-learn,Internship,3+,ml engineer,
Creativity,Beginner,Full Stack,Diploma,CS,Intern,JavaScript,"None, React, TensorFlow",Internship,None,ml engineer,
Both,None,Backend,Masters,Non-CS,Trainee,"Java, JavaScript","Node, PyTorch, TensorFlow",Onsite,1+,ml engineer,
Creativity,None,Frontend,Bachelors,CS,Intern,"C, Java, JavaScript, R","Node, Scikit-learn, TensorFlow",Freelance,3+,ml engineer,
Creativity,Beginner,Cybersecurity,Masters,CS,Intern,"C++, JavaScript, R, SQL","Node, None",Freelance,3+,frontend developer,
Logic,Intermediate,Backend,Diploma,CS,Trainee,"C++, JavaScript, R",Django,Freelance,3+,frontend developer,
Both,Beginner,AI/ML,Diploma,Non-CS,Trainee,"None, SQL","PyTorch, TensorFlow",Freelance,1+,ml engineer,
Creativity,Advanced,Data Science,Bachelors,CS,Trainee,"Java, None","Flask, None",Onsite,3+,backend developer,
Creativity,Advanced,Frontend,Masters,CS,Job Seeker,"Java, JavaScript, None, SQL",Node,Remote,1+,frontend developer,
Logic,Beginner,Frontend,Masters,CS,Job Seeker,C,"Flask, None",Internship,1+,backend developer,
Both,Beginner,Cybersecurity,Masters,Non-CS,Pursuing Degree,Java,"Node, Scikit-learn",Remote,1+,ml engineer,
Creativity,None,DevOps,Bachelors,CS,Trainee,Java,"Node, PyTorch",Remote,3+,ml engineer,
Creativity,Advanced,Frontend,Bachelors,CS,Pursuing Degree,SQL,"Node, PyTorch, TensorFlow",Onsite,3+,ml engineer,
Creativity,Advanced,AI/ML,Bachelors,Non-CS,Pursuing Degree,"C, Java, SQL","Django, Flask",Onsite,3+,backend developer,
Both,Beginner,AI/ML,Diploma,CS,Working Professional,"C++, Java",PyTorch,Full-time Job,None,ml engineer,
Both,None,AI/ML,Masters,Non-CS,Pursuing Degree,"C, JavaScript, R","Flask, PyTorch, Scikit-learn",Freelance,1+,ml engineer,
Both,Beginner,Full Stack,Bachelors,Non-CS,Job Seeker,"Java, SQL","Django, Flask, Node",Onsite,3+,backend developer,
Both,Beginner,Backend,Diploma,Non-CS,Working Professional,"C, C++, JavaScript, None","Flask, PyTorch, React",Internship,None,ml engineer,
Both,None,AI/ML,Diploma,Non-CS,Trainee,"C, Python, R, SQL","Flask, None, Scikit-learn",Onsite,3+,ml engineer,
Both,Beginner,Backend,Bachelors,CS,Trainee,"Java, JavaScript, R, SQL",Scikit-learn,Onsite,None,ml engineer,
Creativity,Advanced,AI/ML,Diploma,Non-CS,Job Seeker,"C, R, SQL","Flask, PyTorch, React",Internship,3+,ml engineer,
Creativity,Intermediate,AI/ML,Masters,CS,Job Seeker,"C, C++, R, SQL","Node, TensorFlow",Internship,1+,ml engineer,
Creativity,Intermediate,Frontend,Diploma,CS,Trainee,"C++, R",Flask,Internship,1+,backend developer,
Both,Beginner,Full Stack,Bachelors,CS,Pursuing Degree,SQL,"Flask, Node, None",Full-time Job,None,backend developer,
Both,Beginner,Data Science,Bachelors,Non-CS,Job Seeker,"C, JavaScript, SQL",Django,Internship,3+,frontend developer,
Logic,Advanced,Cybersecurity,Masters,CS,Intern,"JavaScript, None","Node, TensorFlow",Remote,1+,ml engineer,
Logic,Advanced,DevOps,Diploma,CS,Job Seeker,Python,TensorFlow,Freelance,3+,ml engineer,
Both,Advanced,Full Stack,Masters,CS,Intern,R,None,Full-time Job,3+,intern,
Both,None,AI/ML,Diploma,Non-CS,Pursuing Degree,"C, C++, None, SQL","Django, Node",Onsite,3+,backend developer,
Creativity,Advanced,AI/ML,Bachelors,Non-CS,Pursuing Degree,C++,"PyTorch, Scikit-learn, TensorFlow",Remote,3+,ml engineer,
Logic,Beginner,Frontend,Masters,Non-CS,Job Seeker,C++,"React, TensorFlow",Onsite,3+,ml engineer,
Creativity,Beginner,AI/ML,Masters,Non-CS,Working Professional,"C, JavaScript",Scikit-learn,Remote,1+,ml engineer,
Logic,Beginner,Backend,Diploma,CS,Pursuing Degree,JavaScript,"PyTorch, React, Scikit-learn",Internship,1+,ml engineer,
Both,Advanced,Frontend,Diploma,CS,Job Seeker,R,Django,Freelance,3+,backend developer,
Creativity,Intermediate,Data Science,Bachelors,CS,Job Seeker,"C, C++, Java",Flask,Freelance,1+,backend developer,
Logic,Advanced,DevOps,Diploma,Non-CS,Trainee,"C++, Java, JavaScript, None","PyTorch, React, Scikit-learn",Full-time Job,None,ml engineer,
Both,Advanced,Full Stack,Masters,Non-CS,Pursuing Degree,"C++, JavaScript","Node, None, Scikit-learn",Onsite,1+,ml engineer,
Logic,Beginner,Cybersecurity,Masters,CS,Job Seeker,"C++, Python","Flask, PyTorch, TensorFlow",Internship,3+,ml engineer,
Both,Beginner,DevOps,Bachelors,CS,Job Seeker,"None, Python, R",Scikit-learn,Full-time Job,3+,ml engineer,
Logic,None,Full Stack,Masters,Non-CS,Job Seeker,"None, Python, R, SQL",Flask,Internship,None,data analyst,
Creativity,Intermediate,Full Stack,Diploma,Non-CS,Trainee,"C++, Java, None, R","Node, None",Freelance,None,backend developer,
Logic,None,AI/ML,Bachelors,CS,Intern,"C, Java, None, R",Django,Full-time Job,None,backend developer,
Creativity,Intermediate,DevOps,Masters,Non-CS,Trainee,"C++, None","Node, TensorFlow",Full-time Job,None,ml engineer,
Logic,Intermediate,AI/ML,Diploma,CS,Job Seeker,"C++, Java","Flask, React",Remote,1+,frontend developer,
Creativity,Intermediate,Frontend,Masters,CS,Intern,None,None,Onsite,1+,intern,
Both,Beginner,Backend,Diploma,CS,Intern,"Java, JavaScript",Node,Remote,1+,frontend developer,
Logic,Advanced,Backend,Bachelors,Non-CS,Working Professional,"C, C++, R","Flask, PyTorch, React",Internship,1+,ml engineer,
Logic,None,Frontend,Bachelors,Non-CS,Working Professional,Python,"Flask, PyTorch, TensorFlow",Freelance,3+,ml engineer,
Creativity,Intermediate,Full Stack,Diploma,Non-CS,Intern,"Java, None, R",TensorFlow,Remote,1+,ml engineer,
Creativity,Intermediate,Full Stack,Bachelors,Non-CS,Intern,"C, Java, JavaScript, SQL","Django, PyTorch, Scikit-learn",Remote,3+,ml engineer,
Both,Beginner,Data Science,Masters,CS,Working Professional,Python,Scikit-learn,Internship,None,ml engineer,
Both,Advanced,Cybersecurity,Diploma,Non-CS,Working Professional,"JavaScript, None, Python, SQL","Flask, None",Onsite,3+,data analyst,
Creativity,Beginner,Data Science,Masters,CS,Pursuing Degree,"C++, Python","Django, None",Full-time Job,1+,backend developer,
Creativity,Beginner,Cybersecurity,Masters,CS,Working Professional,None,Django,Onsite,None,backend developer,
Both,Advanced,Data Science,Bachelors,Non-CS,Working Professional,"C++, Python, R","Flask, None, Scikit-learn",Full-time Job,3+,ml engineer,
Logic,Beginner,Backend,Masters,CS,Trainee,"C++, JavaScript, R",PyTorch,Full-time Job,None,ml engineer,
Creativity,None,Full Stack,Masters,CS,Working Professional,C++,"Django, Flask, None",Full-time Job,3+,backend developer,
Both,Beginner,Full Stack,Bachelors,CS,Intern,"C++, Python, SQL","None, PyTorch, React",Internship,3+,ml engineer,
Creativity,Intermediate,Data Science,Masters,CS,Pursuing Degree,"C, Java, JavaScript, Python","Django, Scikit-learn, TensorFlow",Remote,None,ml engineer,
Creativity,Advanced,Backend,Bachelors,CS,Trainee,"C, JavaScript, Python",PyTorch,Internship,None,ml engineer,
Both,Advanced,AI/ML,Diploma,Non-CS,Intern,"JavaScript, Python","None, PyTorch, Scikit-learn",Onsite,3+,ml engineer,
Creativity,None,Data Science,Masters,CS,Intern,"C++, Java",Scikit-learn,Freelance,None,ml engineer,
Both,Intermediate,Cybersecurity,Diploma,CS,Working Professional,"C, SQL","Django, Node, TensorFlow",Remote,3+,ml engineer,
Creativity,Beginner,Full Stack,Masters,Non-CS,Pursuing Degree,"Java, None, Python",TensorFlow,Full-time Job,None,ml engineer,
Creativity,Intermediate,Full Stack,Bachelors,Non-CS,Trainee,"C++, Java, JavaScript, None",PyTorch,Freelance,None,ml engineer,
Creativity,Intermediate,Backend,Masters,CS,Trainee,"None, R","Flask, Node, React",Full-time Job,3+,frontend developer,
Both,Intermediate,Frontend,Diploma,Non-CS,Pursuing Degree,Python,"Flask, PyTorch, TensorFlow",Full-time Job,3+,ml engineer,
Creativity,Advanced,Data Science,Masters,Non-CS,Job Seeker,"C, C++, None",Node,Onsite,None,backend developer,
Logic,Intermediate,DevOps,Bachelors,Non-CS,Pursuing Degree,"C, Python, R, SQL","Flask, React, TensorFlow",Onsite,3+,ml engineer,
Logic,Beginner,Data Science,Diploma,CS,Intern,"C++, Java, R",React,Freelance,1+,frontend developer,
Logic,Intermediate,DevOps,Bachelors,CS,Working Professional,"None, R","Flask, Scikit-learn",Freelance,1+,ml engineer,
Logic,Advanced,Backend,Bachelors,CS,Trainee,"C++, Java, None, Python","Django, Flask, PyTorch",Full-time Job,1+,ml engineer,
Creativity,Advanced,Backend,Bachelors,Non-CS,Intern,"Java, Python, R","Django, None, PyTorch",Freelance,None,ml engineer,
Creativity,None,Frontend,Masters,CS,Pursuing Degree,"C++, Java, None, Python",Node,Internship,1+,backend developer,
Creativity,Advanced,Frontend,Diploma,CS,Pursuing Degree,R,"Django, PyTorch, Scikit-learn",Onsite,3+,ml engineer,
Creativity,None,Backend,Masters,CS,Trainee,"C, JavaScript, R, SQL","PyTorch, Scikit-learn",Full-time Job,3+,ml engineer,
Creativity,None,Frontend,Masters,Non-CS,Trainee,"C++, Java","PyTorch, React, Scikit-learn",Internship,None,ml engineer,
Both,Intermediate,DevOps,Masters,Non-CS,Pursuing Degree,"Java, None, R, SQL",Scikit-learn,Remote,3+,ml engineer,
Creativity,Advanced,Data Science,Bachelors,Non-CS,Trainee,C,PyTorch,Full-time Job,3+,ml engineer,
Creativity,Beginner,Data Science,Bachelors,Non-CS,Trainee,Java,"None, PyTorch",Remote,3+,ml engineer,
Logic,None,Backend,Diploma,Non-CS,Pursuing Degree,"JavaScript, R, SQL","Flask, None, Scikit-learn",Onsite,3+,ml engineer,
Logic,None,Data Science,Diploma,CS,Pursuing Degree,"C++, JavaScript, Python, SQL","Node, React, Scikit-learn",Freelance,3+,ml engineer,
Both,Advanced,DevOps,Masters,Non-CS,Job Seeker,Java,"PyTorch, React, Scikit-learn",Full-time Job,3+,ml engineer,
Logic,Beginner,Full Stack,Bachelors,Non-CS,Trainee,"C, Java, R","Django, TensorFlow",Freelance,3+,ml engineer,
Logic,Advanced,DevOps,Diploma,Non-CS,Intern,"Python, SQL","Django, React, TensorFlow",Internship,1+,ml engineer,
Creativity,Intermediate,Backend,Masters,Non-CS,Intern,JavaScript,Node,Internship,1+,frontend developer,
Logic,Intermediate,DevOps,Bachelors,CS,Working Professional,Java,"Node, None",Full-time Job,None,backend developer,
Creativity,None,DevOps,Masters,Non-CS,Job Seeker,Java,TensorFlow,Freelance,None,ml engineer,
Logic,Beginner,Backend,Diploma,Non-CS,Pursuing Degree,"None, Python, R, SQL","PyTorch, React, Scikit-learn",Remote,None,ml engineer,
Both,Advanced,Full Stack,Bachelors,Non-CS,Trainee,JavaScript,TensorFlow,Onsite,None,ml engineer,
Both,Beginner,DevOps,Masters,CS,Trainee,SQL,"Scikit-learn, TensorFlow",Onsite,1+,ml engineer,
Creativity,Intermediate,AI/ML,Bachelors,Non-CS,Trainee,"Java, JavaScript, None","Django, None, PyTorch",Full-time Job,None,ml engineer,
Logic,Advanced,Frontend,Bachelors,CS,Working Professional,"C++, JavaScript, None",PyTorch,Onsite,None,ml engineer,
Both,Intermediate,AI/ML,Diploma,Non-CS,Job Seeker,"Java, SQL",Flask,Remote,3+,backend developer,
Creativity,Advanced,Backend,Masters,CS,Job Seeker,"C, Java, SQL",None,Onsite,None,backend developer,
Both,Beginner,Full Stack,Bachelors,CS,Intern,"C, None, Python, SQL","Flask, Node, PyTorch",Remote,3+,ml engineer,
Logic,Beginner,AI/ML,Bachelors,Non-CS,Working Professional,"C, Java","None, PyTorch, Scikit-learn",Freelance,3+,ml engineer,
Logic,None,DevOps,Masters,Non-CS,Job Seeker,"C++, Java, JavaScript, Python","None, TensorFlow",Freelance,None,ml engineer,
Creativity,Intermediate,Full Stack,Diploma,Non-CS,Working Professional,"JavaScript, Python",TensorFlow,Internship,None,ml engineer,
Both,None,Data Science,Masters,Non-CS,Job Seeker,"JavaScript, R, SQL","Django, PyTorch, TensorFlow",Freelance,3+,ml engineer,
Both,Intermediate,Cybersecurity,Bachelors,Non-CS,Trainee,"JavaScript, Python, R","None, Scikit-learn",Remote,None,ml engineer,
Both,Beginner,Data Science,Bachelors,CS,Intern,"C, Python","Django, None",Onsite,3+,backend developer,
Creativity,Intermediate,Data Science,Diploma,CS,Job Seeker,R,"Django, PyTorch",Onsite,1+,ml engineer,
Logic,Advanced,Cybersecurity,Diploma,Non-CS,Working Professional,Java,"Node, TensorFlow",Internship,None,ml engineer,
Logic,None,Frontend,Bachelors,CS,Pursuing Degree,"C++, None, Python, SQL","Flask, Node",Onsite,None,data analyst,
Creativity,None,Full Stack,Diploma,CS,Pursuing Degree,"Java, JavaScript, Python, R","None, Scikit-learn",Internship,3+,ml engineer,
Creativity,Intermediate,Frontend,Bachelors,Non-CS,Pursuing Degree,"JavaScript, Python, SQL","Node, TensorFlow",Internship,None,ml engineer,
Logic,None,AI/ML,Masters,CS,Job Seeker,"C++, Java, None, Python","Flask, Node",Full-time Job,None,backend developer,
Logic,Advanced,AI/ML,Diploma,CS,Intern,"C, Java, JavaScript, None","Flask, None, TensorFlow",Full-time Job,3+,ml engineer,
Both,None,AI/ML,Masters,CS,Pursuing Degree,C++,PyTorch,Freelance,3+,ml engineer,
Logic,Intermediate,AI/ML,Masters,Non-CS,Trainee,"C++, Java, JavaScript, Python","Django, Scikit-learn, TensorFlow",Freelance,1+,ml engineer,
Logic,Advanced,Full Stack,Diploma,CS,Working Professional,"C, C++, Java, Python","None, PyTorch, Scikit-learn",Remote,None,ml engineer,
Both,None,Cybersecurity,Diploma,Non-CS,Trainee,SQL,"Flask, PyTorch, React",Freelance,1+,ml engineer,
Creativity,None,Cybersecurity,Bachelors,CS,Job Seeker,"JavaScript, None, R",Node,Onsite,3+,frontend developer,
Logic,Intermediate,Cybersecurity,Masters,CS,Working Professional,R,Flask,Onsite,None,backend developer,
Creativity,None,Full Stack,Diploma,CS,Job Seeker,"Python, R",Flask,Freelance,None,data analyst,
Logic,Intermediate,Backend,Diploma,Non-CS,Job Seeker,"C, None, SQL",React,Remote,1+,frontend developer,
Logic,Advanced,Data Science,Masters,Non-CS,Intern,"Java, JavaScript","None, PyTorch, React",Remote,1+,ml engineer,
Logic,Advanced,Frontend,Diploma,CS,Working Professional,"Python, SQL","Flask, Scikit-learn",Freelance,3+,ml engineer,
Creativity,Advanced,AI/ML,Diploma,CS,Trainee,"None, Python, R","Django, React, TensorFlow",Onsite,1+,ml engineer,
Both,Advanced,Data Science,Bachelors,CS,Job Seeker,"C, C++, Java","Flask, Scikit-learn, TensorFlow",Full-time Job,None,ml engineer,
Both,None,Backend,Masters,CS,Working Professional,"Java, SQL",Django,Internship,1+,backend developer,
Logic,Advanced,DevOps,Bachelors,Non-CS,Working Professional,"Java, Python","Django, Node, React",Full-time Job,1+,data analyst,
Logic,Advanced,Cybersecurity,Diploma,Non-CS,Job Seeker,"Java, Python","Django, React",Internship,None,data analyst,
Logic,Advanced,Frontend,Masters,Non-CS,Job Seeker,Java,Node,Internship,1+,backend developer,
Logic,Advanced,Cybersecurity,Masters,Non-CS,Pursuing Degree,Python,React,Freelance,None,data analyst,
Creativity,Beginner,DevOps,Bachelors,Non-CS,Intern,"None, SQL",Scikit-learn,Freelance,1+,ml engineer,
Logic,Beginner,DevOps,Bachelors,Non-CS,Pursuing Degree,"Java, None, R",Django,Freelance,None,backend developer,
Creativity,Beginner,Cybersecurity,Masters,CS,Trainee,"C, C++, JavaScript","PyTorch, TensorFlow",Full-time Job,None,ml engineer,
Both,Advanced,Data Science,Diploma,Non-CS,Job Seeker,"C, Python, R","Django, Node, React",Internship,1+,data analyst,
Creativity,Advanced,AI/ML,Bachelors,Non-CS,Pursuing Degree,"C, Java, JavaScript, R","None, React",Freelance,None,frontend developer,
Both,Advanced,DevOps,Bachelors,Non-CS,Trainee,"Java, R","Flask, PyTorch, TensorFlow",Remote,None,ml engineer,
Both,None,Frontend,Diploma,Non-CS,Intern,"Java, None, Python, R","React, TensorFlow",Onsite,3+,ml engineer,
Logic,Intermediate,AI/ML,Diploma,CS,Job Seeker,"C, C++, JavaScript",Node,Onsite,3+,frontend developer,
Logic,Advanced,Cybersecurity,Bachelors,CS,Job Seeker,JavaScript,"Django, Flask, TensorFlow",Internship,1+,ml engineer,
Both,Advanced,Backend,Diploma,Non-CS,Working Professional,"C, C++, R, SQL","Node, PyTorch, Scikit-learn",Full-time Job,3+,ml engineer,
Creativity,Beginner,Cybersecurity,Masters,Non-CS,Working Professional,"JavaScript, None","None, React, TensorFlow",Onsite,3+,ml engineer,
Logic,None,Data Science,Masters,CS,Trainee,"Java, JavaScript, Python","React, Scikit-learn",Freelance,None,ml engineer,
Both,None,Backend,Masters,CS,Job Seeker,"C, C++, JavaScript",Scikit-learn,Freelance,1+,ml engineer,
Both,None,Data Science,Bachelors,CS,Pursuing Degree,C++,None,Internship,1+,intern,
Logic,Intermediate,AI/ML,Bachelors,Non-CS,Intern,C,"Node, PyTorch",Freelance,3+,ml engineer,
Both,Beginner,Data Science,Masters,CS,Intern,"C, JavaScript, None, SQL","Django, Node, PyTorch",Freelance,None,ml engineer,
Both,Intermediate,Data Science,Diploma,CS,Intern,"C, Java, JavaScript, Python",None,Freelance,1+,data analyst,
Logic,Intermediate,DevOps,Bachelors,CS,Job Seeker,C++,Flask,Internship,3+,backend developer,
Both,Advanced,Cybersecurity,Diploma,CS,Pursuing Degree,"C, Java, JavaScript, SQL",Scikit-learn,Onsite,3+,ml engineer,
Creativity,None,Frontend,Masters,CS,Working Professional,"Python, SQL","None, PyTorch, React",Freelance,None,ml engineer,
Logic,Beginner,AI/ML,Diploma,Non-CS,Working Professional,"C, C++, JavaScript, R","Node, PyTorch",Remote,None,ml engineer,
Creativity,Advanced,Frontend,Bachelors,Non-CS,Trainee,"C, JavaScript, Python","None, TensorFlow",Remote,3+,ml engineer,
Both,Beginner,DevOps,Bachelors,CS,Trainee,SQL,"Django, PyTorch",Internship,None,ml engineer,
Both,Beginner,Data Science,Diploma,CS,Working Professional,Java,"Django, Scikit-learn",Onsite,None,ml engineer,
Logic,None,Full Stack,Masters,Non-CS,Trainee,"C, Java, JavaScript, Python",React,Onsite,1+,data analyst,
Creativity,Intermediate,Full Stack,Masters,Non-CS,Intern,"Python, R, SQL","Flask, React",Remote,3+,data analyst,
Creativity,None,DevOps,Diploma,CS,Trainee,"Java, JavaScript, None, SQL","Flask, Node",Onsite,None,frontend developer,
Creativity,Intermediate,Backend,Diploma,Non-CS,Pursuing Degree,"C++, None, Python, SQL","None, PyTorch, Scikit-learn",Freelance,None,ml engineer,
Creativity,Intermediate,Full Stack,Diploma,Non-CS,Pursuing Degree,JavaScript,"Scikit-learn, TensorFlow",Remote,1+,ml engineer,
Creativity,Intermediate,DevOps,Masters,Non-CS,Trainee,Java,"Flask, Node, PyTorch",Freelance,None,ml engineer,
Logic,Intermediate,Backend,Diploma,CS,Job Seeker,"C, JavaScript, None","None, React",Freelance,3+,frontend developer,
Creativity,Intermediate,DevOps,Bachelors,Non-CS,Pursuing Degree,"C++, Java, None",PyTorch,Full-time Job,1+,ml engineer,
Both,Advanced,Cybersecurity,Bachelors,CS,Pursuing Degree,"C, R","Flask, PyTorch",Remote,3+,ml engineer,
Both,Intermediate,Cybersecurity,Bachelors,Non-CS,Job Seeker,"C, Java",React,Freelance,None,frontend developer,
Logic,None,Cybersecurity,Diploma,CS,Pursuing Degree,"C++, None, Python, R",React,Internship,None,data analyst,
Both,None,Full Stack,Diploma,Non-CS,Pursuing Degree,"C, C++","None, React",Freelance,None,frontend developer,
Both,Intermediate,Cybersecurity,Masters,Non-CS,Trainee,"Java, Python","Flask, React",Full-time Job,None,data analyst,
Creativity,None,Data Science,Bachelors,Non-CS,Trainee,Java,TensorFlow,Freelance,3+,ml engineer,
Both,Intermediate,Frontend,Masters,Non-CS,Intern,"C++, Python, R, SQL","Node, PyTorch, React",Freelance,1+,ml engineer,
Logic,Advanced,DevOps,Masters,Non-CS,Pursuing Degree,"C, Python","PyTorch, React, Scikit-learn",Freelance,None,ml engineer,
Both,Beginner,Data Science,Bachelors,CS,Working Professional,SQL,"Flask, Scikit-learn",Remote,None,ml engineer,
Creativity,None,AI/ML,Masters,Non-CS,Intern,R,React,Internship,None,frontend developer,
Logic,Beginner,Frontend,Masters,CS,Working Professional,C,"PyTorch, TensorFlow",Freelance,None,ml engineer,
Creativity,Intermediate,Data Science,Diploma,CS,Trainee,"C, C++, Java","Django, None, PyTorch",Freelance,1+,ml engineer,
Both,Beginner,Backend,Masters,CS,Intern,C++,"PyTorch, Scikit-learn, TensorFlow",Remote,1+,ml engineer,
Logic,Intermediate,AI/ML,Diploma,Non-CS,Job Seeker,"Java, JavaScript, None, Python","Django, None, PyTorch",Freelance,None,ml engineer,
Creativity,None,Full Stack,Masters,Non-CS,Pursuing Degree,"C, JavaScript, None","Flask, Node, PyTorch",Remote,1+,ml engineer,
Logic,None,Data Science,Diploma,Non-CS,Intern,"Java, None","None, PyTorch, TensorFlow",Remote,3+,ml engineer,
Logic,Beginner,Frontend,Masters,CS,Working Professional,"C, C++, Java, R","Flask, None, React",Onsite,1+,frontend developer,
Both,None,Data Science,Bachelors,CS,Intern,"C, None, Python, R",Flask,Internship,None,data analyst,
Both,Intermediate,Data Science,Masters,Non-CS,Working Professional,"C, C++, None",Scikit-learn,Full-time Job,1+,ml engineer,
Logic,None,Cybersecurity,Bachelors,Non-CS,Working Professional,"C, C++, Java, JavaScript","Flask, Scikit-learn",Full-time Job,3+,ml engineer,
Both,Beginner,DevOps,Diploma,Non-CS,Job Seeker,"C++, SQL","Django, Node, React",Remote,None,frontend developer,
Both,Beginner,Cybersecurity,Bachelors,Non-CS,Working Professional,SQL,TensorFlow,Freelance,3+,ml engineer,
Logic,None,AI/ML,Diploma,CS,Pursuing Degree,"Java, JavaScript, R",Django,Internship,3+,frontend developer,
Creativity,None,DevOps,Diploma,Non-CS,Pursuing Degree,"Java, None",PyTorch,Internship,1+,ml engineer,
Both,Beginner,Frontend,Diploma,CS,Pursuing Degree,"C, Java, JavaScript, None",Flask,Onsite,3+,frontend developer,
Both,Advanced,Backend,Bachelors,CS,Working Professional,"C, None, R, SQL","Flask, None, Scikit-learn",Full-time Job,3+,ml engineer,
Both,Intermediate,AI/ML,Diploma,Non-CS,Working Professional,"C++, None, R, SQL","Django, None",Onsite,None,backend developer,
Both,Intermediate,Cybersecurity,Bachelors,Non-CS,Pursuing Degree,"Python, SQL",Scikit-learn,Full-time Job,1+,ml engineer,
Both,None,Data Science,Masters,CS,Working Professional,JavaScript,"React, Scikit-learn",Full-time Job,1+,ml engineer,
Logic,Beginner,Full Stack,Masters,Non-CS,Job Seeker,"C, C++, Java, Python","Node, PyTorch, TensorFlow",Full-time Job,3+,ml engineer,
Logic,Advanced,DevOps,Bachelors,Non-CS,Trainee,R,"Flask, React",Freelance,None,frontend developer,
Logic,Beginner,Backend,Bachelors,CS,Pursuing Degree,None,Scikit-learn,Full-time Job,None,ml engineer,
Creativity,Intermediate,Frontend,Masters,CS,Intern,"C, Java, None, SQL","Flask, None",Internship,None,backend developer,
Both,None,Backend,Bachelors,Non-CS,Job Seeker,"Python, R, SQL",Flask,Full-time Job,None,data analyst,
